Name,Commits
thinkyhead,11353
ellensp,433
ErikZalm,418
AnHardt,407
thisiskeithb,339
GMagician,300
Bob-the-Kuhn,277
InsanityAutomation,251
sjasonsmith,194
Roxy-3D,191
tpruvot,179
rhapsodyv,177
daid,175
boelle,168
jbrazio,160
Wackerbarth,158
marcio-ao,142
Ludy87,105
p3p,97
robbycandra,89
bkubicek,81
tcm0116,72
marciot,68
bgort,56
ejtagle,56
alexborro,53
tombrazier,52
Wurstnase,52
rmoravcik,48
nothinman,46
teemuatlut,46
croadfeldt,46
epatel,41
stv0g,40
GerogeFu,40
classicrocker883,40
fiveangle,38
descipher,36
LVD-AC,34
mriscoc,32
CONSULitAS,32
Vertabreak,32
ManuelMcLure,31
STB3,30
MagoKimbra,28
studiodyne,28
ktand,27
slowbro,27
whosawhatsis,27
X-Ryl669,26
SCUBA82,26
Kaibob2,25
buildrob,25
qwewer0,24
EvilGremlin,24
benlye,24
jmz52,24
LinFor,23
Tannoo,23
bigtreetech,22
jcrocholl,22
shitcreek,22
chron0,22
drf5n,21
blubbfish,20
MaikStohn,20
iXce,20
narno2202,19
vovodroid,19
Cylindric,19
neildarlow,18
sl1pkn07,18
zeleps,18
xC0000005,18
maverikou,17
timmmoore,17
DerAndere1,17
silvio-didonna,16
brupje,16
solawc,15
wolfmanjm,15
linagee,15
Natealus,15
petrzjunior,15
GHGiampy,14
Idorobots,14
wgm4321,14
galexander1,14
0r31,14
gege2b,13
ETE-Design,13
mh-dm,13
clexpert,13
Serhiy-K,13
chepo92,12
alexxy,12
mks-viva,12
japzi,12
njprossi,12
Blue-Marlin,12
Msq001,12
Malderin,12
HoverClub,12
ei8htohms,12
vector76,12
brandstaetter,12
shadow578,12
AlexanderAmelkin,11
yhfudev,11
StefanBruens,11
android444,11
domonoky,11
fmalpartida,11
XDA-Bam,11
guruathwal,11
Acenotass,11
eboston,11
onovy,10
FHeilmann,10
randellhodges,10
odewdney,10
kisslorand,10
triffid,10
The-EG,10
setar,10
swissnorp,9
kieranc,9
grauerfuchs,9
ccccmagicboy,9
ansonl,9
dbuezas,9
ijackson,9
jothan,9
MoellerDi,9
SwiftNick,9
hasenbanck,9
ramiropolla,9
coldtobi,9
AntoszHUN,9
chris-bo,8
Dim3nsioneer,8
emartinez167,8
monkeydave,8
Evg33,8
pinchies,8
paclema,8
espr14,8
Bacon-Fixation,8
tommil,8
Phr3d13,8
pmjdebruijn,8
josefpavlik,8
trouch,8
eduard-sukharev,8
RobotCaleb,8
gloomyandy,8
kad,8
vyacheslav-shubin,7
victorpv,7
revilor,7
ldursw,7
kiyoshigawa,7
lefterisgar,7
blazewicz,7
rmbq,7
ivankravets,7
LinoBarreca,7
codexmas,7
markfinn,7
alhirzel,7
floyd871,7
stawel,7
SJ-Innovation,7
blt3dp,7
scalez,7
cocktailyogi,6
blddk,6
764811,6
felixstorm-c4a8,6
lukasradek,6
mikeshub,6
plampix,6
tome9111991,6
clefranc,6
DanieleSdei,6
msutas,6
TheSFReader,6
fsantini,6
Banjer,6
BorisLandoni,6
brackendawson,6
AJMartel,6
cytown,6
docdawning,6
Fourmi,6
foosel,6
smoki3,6
markniu,6
rafacouto,6
Rerouter,6
RudolphRiedel,6
salfter,6
Sebazzz,6
CRCinAU,6
makerbase-mks,5
midopple,5
mikemerryguy,5
oldmcg,5
rafaljot,5
swilkens,5
jeffyl,5
ModMike,5
PxT,5
akaJes,5
DinoMesina,5
luc-github,5
Speaka,5
quiret,5
MoonCactus,5
I3DBeeTech,5
Sophist-UK,5
AndersSahlman,5
040medien,5
FanDjango,5
vlsi,5
yuroller,5
alextrical,5
elgambitero,5
gjdodd,5
grob6000,5
chai-md,4
gouache,4
bilsef,4
atfield90,4
alexgrach,4
ZetaPhoenix,4
Palatis,4
niccoreyes,4
stuartpittaway,4
sjkelly,4
skruppy,4
simon-jouet,4
Sergey1560,4
felixstorm,4
jaysonkelly,4
jeffstaley,4
kAdonis,4
kpishere,4
lrpirlet,4
lujios,4
luzpaz,4
scott0122,4
tonokip,4
vivian-ng,4
wmariz,4
yufanyufan,4
cdedwards,4
jufimu12,4
filimonic,4
anttix,4
arekm,4
bob808,4
thinkl33t,4
Brendan-csel,4
nophead,4
i-make-robots,4
Desuuuu,4
rubienr,4
dok-net,4
eoyilmaz,4
Evgeny-SPB,4
Fabi0San,4
guestisp,4
GadgetNutt,4
Allted,4
V1EngineeringInc,4
Sebastianv650,4
manianac,4
sorki,4
RicardoGA,4
radek8,4
Minims,4
mattsch,4
mathiasvr,4
mtowara,4
marcovannoord,4
MKS-Sean,4
KevinOConnor,4
jeffeb3,4
GadgetAngel,4
victorandueza,3
vlad-the-compiler,3
wavexx,3
yucelll,3
cbaugher,3
charlespick,3
chestwood96,3
chzj333,3
drzejkopf,3
TheLongAndOnly,3
stef-ladefense,3
sphawes,3
the-real-orca,3
SCiunczyk,3
sblaisot,3
smiksky,3
Opticalworm,3
Rockman18,3
dot-bob,3
exilaus,3
bizzehdee,3
C-o-r-E,3
daleckystepan,3
yangwenxiong,3
shaktee,3
sargonphin,3
rudihorn,3
roglio,3
reloxx13,3
paulusjacobus,3
notabucketofspam,3
mmajoor,3
mfeherpataky,3
lajos,3
jmdearras,3
jbuck2005,3
hartmannathan,3
hannesweisbach,3
fixoid,3
fedetony,3
Diegovd,3
chertykov,3
DejitaruJin,3
danielmartinez,3
Knifa,3
DanNixon,3
costas-basdekis,3
hexane360,3
DDRBoxman,3
strnk,3
