Number,Name,Comments,State,Labels,Created,Closed,Url
158,#158_How_to_change_the_pins_setup,2,closed,['T: Question'],2012-05-02 14:01:24+00:00,2012-05-04 05:30:13+00:00,https://github.com/MarlinFirmware/Marlin/issues/158
626,#626_Support_for_Arduino_Due_(ARM_processor),156,closed,"['T: Feature Request', 'Needs: Work', 'C: Boards/Pins']",2013-10-16 21:13:05+00:00,2016-05-04 13:45:43+00:00,https://github.com/MarlinFirmware/Marlin/issues/626
719,#719_Easy_Calibration_method_to_remove_concave_Delta_movements,20,closed,"['T: Feature Request', 'Needs: More Data']",2014-01-17 14:28:10+00:00,2016-05-04 13:29:22+00:00,https://github.com/MarlinFirmware/Marlin/issues/719
916,#916_New_algorithm_Velocity_Extruding_for_more_smooth_print,51,closed,['T: Feature Request'],2014-05-13 05:21:46+00:00,2015-08-12 01:56:46+00:00,https://github.com/MarlinFirmware/Marlin/issues/916
923,#923_feature_request___multiple_extruders_running_simultaneously,14,closed,['T: Feature Request'],2014-05-19 02:25:22+00:00,2015-04-26 11:27:38+00:00,https://github.com/MarlinFirmware/Marlin/issues/923
973,#973_add_chamber_Temp_in_the_display,35,closed,['T: Feature Request'],2014-06-21 10:46:03+00:00,2018-08-13 21:36:18+00:00,https://github.com/MarlinFirmware/Marlin/issues/973
1026,#1026_[FR]_Electronics_Temp_display,7,closed,"['T: Feature Request', 'C: LCD & Controllers']",2014-08-07 20:50:15+00:00,2020-06-21 01:14:23+00:00,https://github.com/MarlinFirmware/Marlin/issues/1026
1050,#1050_[FR]_Arc__K__(z-axis)_support_for_helical_interpolation,9,closed,"['T: Feature Request', 'C: Motion']",2014-08-27 18:27:51+00:00,2021-10-22 18:55:44+00:00,https://github.com/MarlinFirmware/Marlin/issues/1050
1086,#1086_Add__Calibration_Procedures__to_the_firmware,12,closed,['T: Feature Request'],2014-09-30 01:16:14+00:00,2016-05-04 13:30:03+00:00,https://github.com/MarlinFirmware/Marlin/issues/1086
1102,#1102_Feature_request__support_for_2_2__Serial_SPI_TFT_LCD_Module_Display_240x320_ILI9341,30,closed,['C: Boards/Pins'],2014-10-07 07:59:58+00:00,2015-04-27 05:06:39+00:00,https://github.com/MarlinFirmware/Marlin/issues/1102
1166,#1166_Virgin_Marlin_install_crashes_when_the_Z_axis_is_moved_via_LCD_rotary_encoder,46,closed,['Bug: Confirmed !'],2014-12-03 09:31:30+00:00,2016-03-02 12:01:38+00:00,https://github.com/MarlinFirmware/Marlin/issues/1166
1185,#1185_Feature_request__Export_Import_settings_to_from_SD_card_txt-file,11,closed,['T: Feature Request'],2014-12-15 12:39:35+00:00,2015-06-29 10:36:53+00:00,https://github.com/MarlinFirmware/Marlin/issues/1185
1342,#1342_Individual_steps_per_mm_setting_for_second_extruder,22,closed,['T: Feature Request'],2015-01-09 21:50:19+00:00,2016-05-04 13:30:12+00:00,https://github.com/MarlinFirmware/Marlin/issues/1342
1360,#1360_Offsets_for_multiple_hotend_(delta),24,closed,['Bug: Confirmed !'],2015-01-13 17:48:05+00:00,2016-04-23 11:32:45+00:00,https://github.com/MarlinFirmware/Marlin/issues/1360
1397,#1397_Bed__Topography__Correction,17,closed,['Bug? Feature!'],2015-01-22 23:31:50+00:00,2017-05-19 16:20:52+00:00,https://github.com/MarlinFirmware/Marlin/issues/1397
1410,#1410_How_to_allow_dual_Z_and_dual_extruder_on_RUMBA_,23,closed,['T: Feature Request'],2015-01-24 12:22:40+00:00,2016-04-25 20:19:13+00:00,https://github.com/MarlinFirmware/Marlin/issues/1410
1454,#1454_LCD_info_replacement_for_X_and_Y_position_,34,closed,"['PR: Improvement', 'Needs: Work']",2015-02-02 15:48:01+00:00,2016-04-23 11:32:32+00:00,https://github.com/MarlinFirmware/Marlin/issues/1454
1468,#1468_[Feature_Request]_Allow_for_CoreXZ_printers,6,closed,['T: Feature Request'],2015-02-05 15:42:24+00:00,2015-09-25 13:20:34+00:00,https://github.com/MarlinFirmware/Marlin/issues/1468
1471,#1471_Full_graphics_controller_shows_fan_at_1%_when_off,12,closed,['Bug: Potential ?'],2015-02-07 09:19:58+00:00,2015-02-07 10:46:19+00:00,https://github.com/MarlinFirmware/Marlin/issues/1471
1485,#1485_How_to_keep_the_stepper_motors_from_disabling_after_print_is_finished_cancelled_,50,closed,['Bug? Feature!'],2015-02-09 10:57:51+00:00,2015-02-12 22:12:24+00:00,https://github.com/MarlinFirmware/Marlin/issues/1485
1507,#1507_Z_Raise_after_probing_addition,45,closed,['Bug: Potential ?'],2015-02-16 06:25:14+00:00,2015-11-06 11:56:23+00:00,https://github.com/MarlinFirmware/Marlin/issues/1507
1509,#1509_Thermal_runaway_audio-visual_alarm,43,closed,"['T: Feature Request', 'Needs: Work']",2015-02-16 23:42:28+00:00,2015-06-29 11:05:36+00:00,https://github.com/MarlinFirmware/Marlin/issues/1509
1525,#1525_Marlin_Documentation_Compilation_md_link_problem,3,closed,['C: Documentation'],2015-02-21 23:29:07+00:00,2015-06-29 11:06:24+00:00,https://github.com/MarlinFirmware/Marlin/issues/1525
1531,#1531_Review_configuration_files_default,25,closed,"['PR: Improvement', 'Needs: Work']",2015-02-22 14:46:48+00:00,2015-09-25 13:25:05+00:00,https://github.com/MarlinFirmware/Marlin/issues/1531
1562,#1562_Motors_not_working_after_trying_Repetier_and_coming_back_to_Marlin,4,closed,['C: Configuration'],2015-03-05 09:37:16+00:00,2015-03-05 17:28:36+00:00,https://github.com/MarlinFirmware/Marlin/issues/1562
1564,#1564_Specific_Configuration_files__difficult_to_maintain_,22,closed,['T: Feature Request'],2015-03-05 12:01:58+00:00,2016-05-04 13:30:18+00:00,https://github.com/MarlinFirmware/Marlin/issues/1564
1592,#1592_web_configurator,23,closed,['T: Feature Request'],2015-03-11 09:15:08+00:00,2015-05-31 14:47:07+00:00,https://github.com/MarlinFirmware/Marlin/issues/1592
1600,#1600_JKN_Advance_algorithm_implementation,12,closed,"['PR: Improvement', 'Needs: Work']",2015-03-13 16:42:52+00:00,2015-06-29 11:11:23+00:00,https://github.com/MarlinFirmware/Marlin/issues/1600
1613,#1613_Support_extruders_with_a_differing_number_of_heaters_&_steppers,43,closed,"['T: Feature Request', 'Needs: Work']",2015-03-15 20:22:04+00:00,2016-05-04 13:30:25+00:00,https://github.com/MarlinFirmware/Marlin/issues/1613
1671,#1671_Least_Squares_Best_Fit_Algorithm_(for_ABL)_Should_Be_Shrunk,18,closed,"['T: Feature Request', 'Needs: Work']",2015-03-22 21:56:22+00:00,2016-05-04 13:30:30+00:00,https://github.com/MarlinFirmware/Marlin/issues/1671
1677,#1677_Filament_Width_-_Dual_Extruder,5,closed,['T: Feature Request'],2015-03-23 10:01:56+00:00,2016-02-22 02:06:35+00:00,https://github.com/MarlinFirmware/Marlin/issues/1677
1682,#1682_Dev_version_and_bed_levelling_-_wrong_Z_after_G29_(several_mm_above_bed),115,closed,['Bug: Confirmed !'],2015-03-24 08:33:20+00:00,2015-08-03 09:58:08+00:00,https://github.com/MarlinFirmware/Marlin/issues/1682
1699,#1699_G29_Topographical_Map_Issue,34,closed,"['Bug: Confirmed !', 'C: Documentation']",2015-03-25 22:15:20+00:00,2015-08-03 09:05:52+00:00,https://github.com/MarlinFirmware/Marlin/issues/1699
1701,#1701_Z_Probe_needs_time_to_deploy_before_reading,12,closed,"['T: Feature Request', 'PR: Improvement', 'Needs: Work']",2015-03-26 06:32:48+00:00,2015-09-25 13:02:00+00:00,https://github.com/MarlinFirmware/Marlin/issues/1701
1720,"#1720_Is_it_just_me,_or_is_LCD_menu_navigation_backwards_",22,closed,['T: Feature Request'],2015-03-28 17:58:15+00:00,2016-03-26 10:09:11+00:00,https://github.com/MarlinFirmware/Marlin/issues/1720
1730,#1730_Z_Axis_not_moving_up_between_probes_or_after_probing_completes_on_G29_,25,closed,"['Bug: Confirmed !', 'Needs: Work']",2015-03-29 11:31:03+00:00,2015-08-03 09:31:29+00:00,https://github.com/MarlinFirmware/Marlin/issues/1730
1731,#1731_Bed_autolevel_isn_t_working_on_delta-printers_,45,closed,['Bug: Confirmed !'],2015-03-29 13:12:05+00:00,2015-09-07 01:01:46+00:00,https://github.com/MarlinFirmware/Marlin/issues/1731
1739,#1739_Status_poll_of_Graphical_LCDs_and_Printing_Performance,55,closed,"['T: Feature Request', 'Needs: More Data']",2015-03-30 05:57:23+00:00,2016-05-04 13:30:35+00:00,https://github.com/MarlinFirmware/Marlin/issues/1739
1742,#1742_Endstop_open_message_misleading,20,closed,['T: Feature Request'],2015-03-30 10:27:59+00:00,2016-04-25 20:18:56+00:00,https://github.com/MarlinFirmware/Marlin/issues/1742
1760,#1760_G29_must_require_homing_of_all_axes,17,closed,"['Bug: Confirmed !', 'Needs: More Data']",2015-03-31 18:54:14+00:00,2015-08-03 09:10:00+00:00,https://github.com/MarlinFirmware/Marlin/issues/1760
1761,#1761_Wrong_Z_homing_position_,43,closed,['Bug: Confirmed !'],2015-03-31 21:26:08+00:00,2015-08-03 10:17:03+00:00,https://github.com/MarlinFirmware/Marlin/issues/1761
1769,#1769_strange_auto_level_behaviour___,151,closed,['Bug: Confirmed !'],2015-04-01 04:45:07+00:00,2015-08-03 10:01:00+00:00,https://github.com/MarlinFirmware/Marlin/issues/1769
