Number,Name,Comments,State,Labels,Created,Closed,Url
4,#4_Extruder_running_backwards_even_when_E_values_are_increasing_in_gcode,6,closed,[],2011-08-25 23:12:03+00:00,2011-11-22 19:38:01+00:00,https://github.com/MarlinFirmware/Marlin/issues/4
5,#5_Compiling_error_with_Sanguinololu_v1_2,3,closed,[],2011-08-28 22:27:40+00:00,2011-12-05 14:06:25+00:00,https://github.com/MarlinFirmware/Marlin/issues/5
6,#6_Licence_,3,closed,[],2011-09-05 20:50:16+00:00,2011-09-05 20:51:00+00:00,https://github.com/MarlinFirmware/Marlin/issues/6
7,#7_Number_of_steps_does_not_match_positon,28,closed,[],2011-09-12 20:05:47+00:00,2011-09-23 07:14:42+00:00,https://github.com/MarlinFirmware/Marlin/issues/7
8,#8_what_is_jerk_,5,closed,[],2011-09-20 06:42:26+00:00,2011-11-20 18:06:57+00:00,https://github.com/MarlinFirmware/Marlin/issues/8
9,#9_acelleration_st_fix,1,closed,[],2011-09-21 19:20:24+00:00,2011-11-20 18:07:07+00:00,https://github.com/MarlinFirmware/Marlin/issues/9
10,#10_compilation_without_max-enstops,1,closed,[],2011-10-16 14:07:16+00:00,2011-11-20 18:06:46+00:00,https://github.com/MarlinFirmware/Marlin/issues/10
11,#11_XY_steps_per_mm_confusion,6,closed,[],2011-11-20 22:17:04+00:00,2011-11-21 15:20:34+00:00,https://github.com/MarlinFirmware/Marlin/issues/11
12,#12_Printing_with_SD_enabled_can_not_be_Paused,8,closed,[],2011-11-21 01:13:22+00:00,2011-11-26 08:04:57+00:00,https://github.com/MarlinFirmware/Marlin/issues/12
13,#13_Missing_steps_a_lot___,16,closed,[],2011-11-21 22:10:37+00:00,2012-05-04 05:55:44+00:00,https://github.com/MarlinFirmware/Marlin/issues/13
14,#14_Marlin_1_0_0b1_and_netfabb_,3,closed,[],2011-11-22 04:07:18+00:00,2011-11-29 10:25:06+00:00,https://github.com/MarlinFirmware/Marlin/issues/14
15,#15_Marlin_1_0_0b1___NOT_ATTACHED_in_ReplicatorG,9,closed,[],2011-11-22 12:19:15+00:00,2012-11-06 12:37:15+00:00,https://github.com/MarlinFirmware/Marlin/issues/15
16,#16_M109_S0_problem_(with_netfabb),16,closed,[],2011-11-22 15:57:13+00:00,2012-05-04 05:56:45+00:00,https://github.com/MarlinFirmware/Marlin/issues/16
17,"#17_Pause,_and_occasional_failure_with_restart",23,closed,[],2011-11-24 02:21:31+00:00,2011-12-09 16:16:31+00:00,https://github.com/MarlinFirmware/Marlin/issues/17
18,#18__60_and_PID_dT_-_conversions_for_output_default-values_inconsistent,5,closed,[],2011-11-24 11:42:03+00:00,2011-11-26 16:38:59+00:00,https://github.com/MarlinFirmware/Marlin/issues/18
19,#19_[Marlin_1_0_0_b1]_Temperature_reading,23,closed,[],2011-11-25 21:24:38+00:00,2011-12-02 00:14:37+00:00,https://github.com/MarlinFirmware/Marlin/issues/19
20,#20_Error_200__ISR_Overtaking_itself,4,closed,[],2011-11-26 23:06:11+00:00,2011-12-05 21:57:07+00:00,https://github.com/MarlinFirmware/Marlin/issues/20
21,#21_Feature_Request__Seperate_Stepper_off_for_E-axis,3,closed,[],2011-11-28 17:59:10+00:00,2011-11-28 20:54:21+00:00,https://github.com/MarlinFirmware/Marlin/issues/21
22,#22_Feature_Request___Make_wait_for_temperature_more_tolerant_,2,closed,[],2011-11-28 19:17:53+00:00,2012-11-17 09:20:45+00:00,https://github.com/MarlinFirmware/Marlin/issues/22
23,#23_Error_Compiling,6,closed,[],2011-11-29 22:46:03+00:00,2011-12-01 07:27:03+00:00,https://github.com/MarlinFirmware/Marlin/issues/23
24,#24_Beta_1_hanging_in_mid_print_,8,closed,[],2011-12-01 11:01:28+00:00,2011-12-04 16:37:21+00:00,https://github.com/MarlinFirmware/Marlin/issues/24
25,#25_[Marlin_v1]_Strange_behaviour_after_homing,15,closed,[],2011-12-02 10:20:53+00:00,2012-02-06 14:08:35+00:00,https://github.com/MarlinFirmware/Marlin/issues/25
26,#26_How_to_use_Wire_h_and_another_lcd_lib_,11,closed,[],2011-12-05 13:08:04+00:00,2013-10-01 20:55:23+00:00,https://github.com/MarlinFirmware/Marlin/issues/26
28,#28_compile_error_on_gen6_electronics,5,closed,[],2011-12-07 09:34:02+00:00,2011-12-22 15:50:32+00:00,https://github.com/MarlinFirmware/Marlin/issues/28
30,#30_Endstop_behavior_is_less_than_ideal_,22,closed,[],2011-12-08 14:23:18+00:00,2011-12-09 17:46:17+00:00,https://github.com/MarlinFirmware/Marlin/issues/30
31,#31_Marlin_reading_wrong_temperature_(RAMPS_1_2___Arduino_1280),4,closed,[],2011-12-09 07:05:26+00:00,2012-05-04 05:58:20+00:00,https://github.com/MarlinFirmware/Marlin/issues/31
32,#32_Sanguinololu_compile_error__planner_cpp,3,closed,[],2011-12-11 20:11:36+00:00,2013-10-01 20:56:22+00:00,https://github.com/MarlinFirmware/Marlin/issues/32
34,#34_Feature_Request__add_M240_code_for_time-lapse_photography,5,closed,[],2011-12-12 12:35:11+00:00,2011-12-22 11:12:33+00:00,https://github.com/MarlinFirmware/Marlin/issues/34
35,"#35_Gcode_loaded_onto_SD_Card_will_start_counting_down_bytes_processd_(very_quickly),_but_not_move_axies",5,closed,[],2011-12-14 14:51:09+00:00,2013-10-03 16:22:47+00:00,https://github.com/MarlinFirmware/Marlin/issues/35
37,#37_Does_not_compile-Marlin_pde_12_12_2011,2,closed,[],2011-12-15 02:21:24+00:00,2011-12-15 11:25:09+00:00,https://github.com/MarlinFirmware/Marlin/issues/37
38,"#38_HOMEAXIS_zeroes_position_first,_breaks_with_min_software_endstops",6,closed,[],2011-12-21 23:17:45+00:00,2020-07-02 23:23:19+00:00,https://github.com/MarlinFirmware/Marlin/issues/38
39,#39_LCD_Compile_errors_with_Sanguino,6,closed,[],2011-12-22 10:09:52+00:00,2011-12-22 11:00:17+00:00,https://github.com/MarlinFirmware/Marlin/issues/39
40,#40_error_compiling_v1b1_for_ramps_1_3_1_4_on_MEGA_2560,3,closed,[],2011-12-25 21:24:27+00:00,2011-12-26 14:22:04+00:00,https://github.com/MarlinFirmware/Marlin/issues/40
42,#42_G28_max_end-stop_issue,4,closed,[],2011-12-27 17:07:31+00:00,2012-04-26 15:58:20+00:00,https://github.com/MarlinFirmware/Marlin/issues/42
43,#43_Step-rate_above_10kHz,3,closed,[],2011-12-30 00:49:19+00:00,2012-05-04 16:45:18+00:00,https://github.com/MarlinFirmware/Marlin/issues/43
44,#44_Fan_motor_does_not_work_with_RAMPS,4,closed,[],2012-01-03 12:01:11+00:00,2013-10-01 20:54:47+00:00,https://github.com/MarlinFirmware/Marlin/issues/44
45,#45_super_slow_printing_with_netfabb_gcode,10,closed,[],2012-01-08 16:24:19+00:00,2013-10-03 16:24:10+00:00,https://github.com/MarlinFirmware/Marlin/issues/45
47,#47_Occasional_Locking_jamming_of_an_axis,5,closed,[],2012-01-11 22:50:36+00:00,2012-11-13 18:49:56+00:00,https://github.com/MarlinFirmware/Marlin/issues/47
48,#48_arc_look_ahead_from_slic3r_slow&jerky_,2,closed,[],2012-01-12 00:05:11+00:00,2014-12-17 23:40:07+00:00,https://github.com/MarlinFirmware/Marlin/issues/48
49,#49_Float_compare_to_0_0,1,closed,[],2012-01-15 22:06:28+00:00,2012-02-09 20:00:13+00:00,https://github.com/MarlinFirmware/Marlin/issues/49
