Number,Name,Comments,Merged,State,Labels,Created,Closed,Commit,Files,Url
698,#698_Arduino_preprocessor_cannot_handle_SPI_include_,1,False,closed,['Bug: Confirmed !'],2013-12-30 19:25:03+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/698
1399,#1399_Code_wont_compile_with_extruder_but_without_bed_runaway_protection_defined_,3,True,closed,['Bug: Confirmed !'],2015-01-23 10:22:31+00:00,2015-01-23 16:36:25+00:00,9b2cecc1adc32e0b18e09ad4e7ced7fa7598fe5c,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1399
1548,#1548_Fix_undefined___PROBE_BED_POSITION_error,0,True,closed,['Bug: Confirmed !'],2015-03-02 03:59:21+00:00,2015-03-02 04:01:38+00:00,7511dececd3d80ac7ada01eb2c984a36da19a1c8,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1548
1583,#1583_M404_should_not_use__N__address_as_parameter_because__N__is_reserved,0,True,closed,"['Bug: Confirmed !', 'PR: Improvement']",2015-03-07 22:38:23+00:00,2015-03-15 14:47:30+00:00,fef50dac143b4d64ae6975b680cdc3df819cc4ce,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1583
1762,#1762_Fix_MIN&MAX_temperatures_again,5,True,closed,['Bug: Confirmed !'],2015-03-31 23:02:48+00:00,2015-04-01 23:52:07+00:00,c028bed192e57213e5d0e59a41ad9026243ce56b,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1762
1790,#1790_fix_feedrate_for_homing_z,1,True,closed,['Bug: Confirmed !'],2015-04-03 14:12:11+00:00,2015-04-04 01:35:09+00:00,ae885ab389cc6b8f23790287311cd86ab4880085,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1790
1798,#1798_Fix_probe_height_at_G28_start,0,True,closed,['Bug: Confirmed !'],2015-04-04 01:55:15+00:00,2015-04-04 02:03:00+00:00,0efbc77e99eae5d4025548f142502cf59ab520cc,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1798
1802,#1802_Compiling_error_temperature_cpp_with_multiple_extruders_defined,0,True,closed,['Bug: Confirmed !'],2015-04-04 05:10:49+00:00,2015-04-04 05:14:12+00:00,44514be31639872e4bd7f6c95104d866f1fe7fe8,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1802
1825,#1825_Bugfix__Temperature_checks_when_no_heaters_in_use,1,True,closed,"['Bug: Confirmed !', 'PR: Improvement']",2015-04-05 22:07:29+00:00,2015-04-07 04:25:22+00:00,50babccd2b9bc9cf0b329f259d9ca5d85ead982b,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1825
1839,#1839_Fix_lcd_status_message,10,True,closed,['Bug: Confirmed !'],2015-04-07 00:35:50+00:00,2015-04-07 02:08:25+00:00,3d7a7b9ac1f109a4579f9fcb8197968fc51cb397,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1839
1865,#1865_Thermistor_values_for_configurator,0,True,closed,['PR: Bug Fix'],2015-04-08 10:12:36+00:00,2015-04-08 10:13:27+00:00,394cbd0b37493656ae24b54e93fb2029cd0cc3ee,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1865
1866,#1866_Remove_Contrast_Menu_for_device_U8GLIB_ST7920,0,True,closed,['PR: Bug Fix'],2015-04-08 11:37:11+00:00,2015-04-09 07:34:25+00:00,9aea43727f2bec8455ffe8341bd9ece9eba7867f,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1866
1868,#1868_Moved_the_definitions_of_the_LCD_STR___to_Conditionals_h,1,True,closed,['PR: Bug Fix'],2015-04-08 20:09:41+00:00,2015-04-09 08:56:24+00:00,6c64584d72f29682e93e496b2645da67ae9faa6a,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1868
1876,#1876_Catch_dangerous_extrude_before_trying_several,1,True,closed,['PR: Bug Fix'],2015-04-09 08:42:06+00:00,2015-04-09 10:21:19+00:00,17d9c89c7fdcbf7e777c2110a8f3500957943bac,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1876
1893,#1893_Fix_doubled_lcd_quick_feedback,0,True,closed,['PR: Bug Fix'],2015-04-11 11:45:26+00:00,2015-04-11 11:57:00+00:00,48d868b4787f74e1e4f2e4aedb9e22a3e451a43e,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1893
1896,#1896_Homing_fixes,0,True,closed,['PR: Bug Fix'],2015-04-12 03:07:26+00:00,2015-04-13 00:50:19+00:00,bc42acd327c39e6e5265b29f4985c7922f62a5a1,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1896
1897,#1897_Manual_bed_leveling_menu_fixes_,2,True,closed,['PR: Bug Fix'],2015-04-12 14:58:17+00:00,2015-04-13 04:26:36+00:00,fce0b861236ef998e6c5430ead021d3b1a24c05f,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1897
1898,#1898_Fix_spelling_of_enqueue,1,False,closed,"['PR: Improvement', 'PR: Bug Fix']",2015-04-13 01:07:18+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/1898
1899,#1899_Several_fixups,0,True,closed,"['PR: Improvement', 'PR: Bug Fix']",2015-04-13 05:49:35+00:00,2015-04-13 06:31:31+00:00,251f0d9e247e93eef2b00dc6bf48f904f4503d09,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1899
1902,#1902_Fix_Syntax_Error_Filament_Runout_Statement,0,True,closed,['Bug: Confirmed !'],2015-04-13 19:39:06+00:00,2015-04-13 21:31:57+00:00,b18482ad5764a641e17bea163b59927144bcdacc,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1902
1912,#1912_Enable_all_old_z___endstop_vars_for_Z_DUAL_ENDSTOPS,0,True,closed,['PR: Bug Fix'],2015-04-14 11:06:05+00:00,2015-04-14 12:12:49+00:00,3e38967f9ff85779b8fac7dc8d2f847a8bee2655,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1912
1919,#1919_Fixed_M48_mismatch_between_n_and_P_parameter_on_documentation,2,True,closed,"['C: Documentation', 'PR: Bug Fix']",2015-04-15 16:19:39+00:00,2015-04-16 10:25:23+00:00,bff6c5d055ec1d81d3cdf9025c525cbdd39f6b4f,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1919
1923,#1923_Babystep_delay_2us,2,True,closed,['PR: Bug Fix'],2015-04-16 11:16:46+00:00,2015-04-16 14:51:37+00:00,0cea409dec077cd11e54392adcf016a2c2487501,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1923
