Number,Name,Comments,Merged,State,Labels,Created,Closed,Commit,Files,Url
1882,#1882_Auto_filament_change_on_CHANGEFILAMENT_feature__Now_you_can_activate_t___,7,True,closed,"['T: Feature Request', 'PR: New Feature']",2015-04-09 12:31:35+00:00,2015-06-07 00:23:19+00:00,89a0a4c020468853458eec0207be4c48a862e37f,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1882
1922,#1922_Serial_wait,38,True,closed,"['PR: Improvement', 'PR: New Feature']",2015-04-16 11:05:35+00:00,2015-05-11 06:10:25+00:00,37c6032514bd29807e3e6a4a85fb4a8e82797a83,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1922
1941,#1941_Add_M410_QuickStop_command,0,True,closed,['PR: New Feature'],2015-04-19 06:08:13+00:00,2015-04-24 00:30:58+00:00,4c47e2e5b18880cfb25b817dac3ac59d765b9321,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1941
1957,#1957_Allow_Y_to_home_before_X_with_option_in_Configuration_adv_h_,4,True,closed,['PR: New Feature'],2015-04-22 20:47:02+00:00,2015-04-28 04:41:14+00:00,07ed3399c600d1a5e450db6ac9f0d2a36670f486,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1957
1973,#1973_M111_-_Debug_Level,0,True,closed,['PR: New Feature'],2015-04-27 03:09:36+00:00,2015-04-27 03:39:56+00:00,049561391e921792bbc511f4d638a04286adfb1b,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1973
1974,#1974_Make_EEPROM_reproducible_in_GCode,0,True,closed,['PR: New Feature'],2015-04-27 03:57:32+00:00,2015-04-28 05:35:41+00:00,a3c2b9876263acb894bb8f91b75bc93bd50d7a02,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1974
1977,#1977_Initial_support_for_Chinese,0,True,closed,"['PR: New Feature', 'C: Language']",2015-04-27 10:53:41+00:00,2015-04-28 03:37:00+00:00,ae2a29850434ee6ad10d730cfadd1fd662bde577,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1977
1984,#1984_Level_Bed_in_Prepare_submenu,0,True,closed,"['PR: New Feature', 'PR: Coding Standards']",2015-04-28 02:11:45+00:00,2015-04-28 02:32:59+00:00,96130ec501b8eceea4d07a88144924c44a0af0d4,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1984
1999,#1999_Added_configurable_script_for_filrunout_from_configuration_h,7,True,closed,"['T: Feature Request', 'PR: New Feature']",2015-04-29 19:40:34+00:00,2015-05-08 11:40:00+00:00,9f492362e5d9ca972b942fb3946ddcfa3018e842,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/1999
2001,#2001_Add_M428_to_set_home_offset_logically,2,True,closed,"['PR: New Feature', 'PR: Bug Fix']",2015-04-30 01:26:28+00:00,2015-04-30 02:15:31+00:00,1c64099b14930843cd3889f36bb6baa2bd91c14b,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2001
2039,#2039_Support_for_MKS_BASE_1_0_board,0,True,closed,"['C: Boards/Pins', 'PR: New Feature']",2015-05-09 02:07:46+00:00,2015-05-09 03:29:58+00:00,090a67d9630b633be3b47f99852f74a1b9492f00,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2039
2057,#2057_add_plan_buffer_remaining_for__P__and_block_buffer_remaining__B_,0,True,closed,['PR: New Feature'],2015-05-11 11:22:31+00:00,2015-05-14 11:57:08+00:00,c819171855d0264aa528432bfc069fe4bad0994a,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2057
2108,#2108_M33_LONG_FILENAME_HOST_SUPPORT,0,True,closed,['PR: New Feature'],2015-05-18 00:38:54+00:00,2015-05-21 23:22:47+00:00,f95b52cff23ee4ab631b14406913d03b7346ad53,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2108
2118,#2118_add_FAN_MIN_PWM_for_slow_fan_stopping_issue_(V2_1_remade),3,True,closed,"['PR: Improvement', 'PR: New Feature']",2015-05-18 20:34:32+00:00,2015-06-07 01:13:10+00:00,b8c89b4f9697f66c56c5616aa84b461dbe216eef,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2118
2157,#2157_Activate_BED_MINTEMP_error,2,True,closed,"['PR: Improvement', 'PR: New Feature']",2015-05-25 11:33:31+00:00,2015-05-27 00:49:37+00:00,c1b524f12482165e06e8fc9cd7306fb4161706e4,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2157
2185,#2185_Separate_the_maximum_integral_power_for_the_bed_from_PID_INTEGRAL_DRI…,0,True,closed,['PR: New Feature'],2015-05-28 15:49:12+00:00,2015-05-28 23:32:02+00:00,74a5a1ad31f80538c248e279d0083df9b5e5e3bd,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2185
2232,#2232_Automatic_versioning_for_Travis_builds,5,True,closed,"['PR: New Feature', 'T: Development']",2015-06-02 13:48:45+00:00,2015-06-03 10:22:01+00:00,26328614057fd84d5d1268abd70195e2236e9200,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2232
2233,#2233_added_minirambo_pin_definitions__V2,0,True,closed,"['C: Boards/Pins', 'PR: New Feature']",2015-06-02 15:16:29+00:00,2015-06-06 23:26:39+00:00,1bf53cc91ee376b7ccb9943917de8e12b1071e8a,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2233
2258,#2258_Sdcard,2,True,closed,"['C: Boards/Pins', 'PR: New Feature']",2015-06-06 21:59:59+00:00,2015-06-06 22:09:41+00:00,302ac7ddfc75aad19eeb462ee704c85eacd87f2f,"[""commit doesn't exist""]",https://github.com/MarlinFirmware/Marlin/pull/2258
