Number,Name,Comments,Merged,State,Labels,Created,Closed,Commit,Files,Url
1938,#1938_Added_z_offset_to_mesh_leveling,12,False,closed,['PR: New Feature'],2015-04-18 19:20:36+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/1938
1963,#1963_M117_with_adjustible_Pause,4,False,closed,['PR: New Feature'],2015-04-24 14:25:20+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/1963
1981,#1981_add_FAN_MIN_PWM_for_slow_fan_stopping_issue,8,False,closed,"['T: Feature Request', 'Needs: More Data', 'PR: New Feature']",2015-04-27 22:38:56+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/1981
2016,#2016_LCD_WG12864U5_is_not_properly_initialized_,6,False,closed,"['Needs: Work', 'C: Boards/Pins', 'PR: New Feature']",2015-05-04 14:47:20+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2016
2017,#2017_Added_calculation_of_difference_between_auto-corrected_bed_level_plane_and_measure_topology_,4,False,closed,['PR: New Feature'],2015-05-04 17:19:24+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2017
2070,#2070_Display_unknown_XYZ_on_the_LCD_as__---_,7,False,closed,"['PR: Improvement', 'Needs: More Data', 'PR: New Feature']",2015-05-13 09:37:06+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2070
2077,#2077_Kill_on_sudden_temperature_jumps,9,False,closed,"['PR: Improvement', 'PR: New Feature', 'PR: Bug Fix']",2015-05-14 13:47:10+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2077
2086,#2086_M33__Get_long_filename,0,False,closed,"['Bug: Confirmed !', 'PR: New Feature', 'PR: Bug Fix']",2015-05-15 17:53:23+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2086
2087,#2087_M33__Get_long_filename,8,False,closed,"['PR: Improvement', 'PR: New Feature', 'PR: Bug Fix']",2015-05-15 18:42:14+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2087
2092,#2092_A_different_heater_sanity_check_,19,False,closed,"['PR: Improvement', 'Needs: Work', 'Needs: More Data', 'PR: New Feature']",2015-05-17 01:30:28+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2092
2129,"#2129_G5_X_Y_Z_Babystepping,_M19_Resume_Failed_Print_From_Z,_Layer_Counting,_Save_Extruder_Offsets_in_EEPR",2,False,closed,['PR: New Feature'],2015-05-20 15:17:21+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2129
2163,#2163_Probe_deployment,22,False,closed,"['PR: Improvement', 'PR: New Feature']",2015-05-25 22:03:58+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2163
2169,#2169_Externally_override_options,2,False,closed,"['Needs: More Data', 'PR: New Feature', 'PR: Coding Standards', 'T: Development']",2015-05-27 01:37:11+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2169
2175,#2175_G5_X_Y_Z_Babystepping,21,False,closed,['PR: New Feature'],2015-05-27 16:07:20+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2175
2177,#2177_Extrude_From_Multiple_Extruders_On_an_LCD_Controller,11,False,closed,"['Needs: Work', 'Needs: More Data', 'PR: New Feature']",2015-05-27 20:04:29+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2177
2179,#2179_M19_Z_Resume_From_Z_and_Layer_Counting,14,False,closed,['PR: New Feature'],2015-05-27 21:46:56+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2179
2231,#2231_A_different_heater_check_(V3),3,False,closed,"['Needs: Testing', 'Needs: More Data', 'PR: New Feature']",2015-06-02 11:41:50+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2231
2239,#2239_Delta_trim,16,False,closed,"['PR: Improvement', 'PR: New Feature']",2015-06-03 10:46:39+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2239
2248,#2248_Fix_extruder_dryrun,7,False,closed,"['PR: New Feature', 'PR: Bug Fix']",2015-06-03 18:35:30+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2248
2272,#2272_Support_for_COREXZ_kinematics,10,False,closed,"['Needs: Testing', 'PR: New Feature']",2015-06-10 00:42:06+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2272
2309,#2309_Electronic_scale_for_Z_axis_probe,21,False,closed,"['Needs: Work', 'PR: New Feature']",2015-06-18 07:27:21+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/2309
