Label,Software Features,All Pull Requests,Percentage
PR: New Feature,662,662,100.0
S: Hold for 2.1,1,1,100.0
S: Experimental,16,45,35.56
F: CNC / Laser,16,46,34.78
T: Feature Request,6,20,30.0
help wanted,4,14,28.57
F: Z-Probes,25,88,28.41
Needs: More Data,17,67,25.37
Needs: Documentation,1,4,25.0
S: Superseded,16,65,24.62
Needs: Work,27,145,18.62
Needs: Testing,34,188,18.09
C: Hosts & Protocols,25,157,15.92
F: Filament Sensor,2,13,15.38
C: Safety,9,61,14.75
F: Toolchange,3,24,12.5
F: Calibration,64,518,12.36
C: Peripherals,23,190,12.11
F: SD Card / Media,15,127,11.81
Needs: Patch,2,17,11.76
T: Design Concept,6,53,11.32
C: Temperatures,15,136,11.03
Needs: Discussion,10,91,10.99
C: G-code Parser,4,39,10.26
C: Motion,28,277,10.11
C: User Interface,3,34,8.82
K: Core / H-Bot,1,12,8.33
S: Don't Merge,11,135,8.15
PR: Configurations,38,489,7.77
F: Trinamic,12,174,6.9
F: IDEX,1,15,6.67
C: LCD & Controllers,86,1416,6.07
C: Serial Comms,7,116,6.03
T: Development,10,175,5.71
C: Boards/Pins,56,1006,5.57
S: Please Merge,5,96,5.21
A: STM32,17,334,5.09
F: U.B.L.,7,149,4.7
F: BLTouch,2,50,4.0
PR: Improvement,88,2351,3.74
A: SAMD51,1,29,3.45
T: HAL & APIs,14,448,3.12
T: Suggestion,2,71,2.82
C: Configuration,8,323,2.48
C: Optimization,2,95,2.11
C: Build / Toolchain,11,547,2.01
K: Deltabot,1,51,1.96
PR: Coding Standards,3,263,1.14
Bug: Confirmed !,4,379,1.06
F: EEPROM,1,95,1.05
PR: Bug Fix,16,3105,0.52
C: Documentation,1,197,0.51
PR: General Cleanup,3,846,0.35
C: Language,2,600,0.33
A: ESP32,0,44,0.0
A: ATmega2560,0,32,0.0
A: LPC176x,0,29,0.0
F: Linear Advance,0,27,0.0
A: SAM3X8C/E,0,24,0.0
T: GitHub Admin,0,20,0.0
Bug: Potential ?,0,19,0.0
Bug? False Alarm,0,18,0.0
F: Print Recovery,0,15,0.0
A: ATmega1280,0,15,0.0
S: Solved,0,14,0.0
A: ATmega1284,0,13,0.0
K: SCARA,0,12,0.0
Bug? Feature!,0,9,0.0
A: AT90USB,0,8,0.0
PR: Workaround,0,7,0.0
S: Please Test,0,6,0.0
A: RP2040,0,1,0.0
A: SAMD21,0,1,0.0
