Commits ,Feature Count ,Lines Changed ,Comment count ,Files Changed
      0 ,           52 ,           60 ,            5 ,            4
      5 ,           46 ,          283 ,            7 ,            9
     10 ,           23 ,          156 ,           13 ,           10
     15 ,           24 ,          531 ,            8 ,           11
     20 ,            7 ,          488 ,           10 ,           10
     25 ,           10 ,          930 ,           12 ,           12
     30 ,            5 ,          583 ,           12 ,           17
     35 ,            8 ,          562 ,           39 ,           11
     40 ,            2 ,          380 ,          124 ,            8
     45 ,            1 ,          187 ,           11 ,            7
     50 ,            4 ,         2382 ,           24 ,           21
     60 ,            7 ,         3592 ,           29 ,           46
