,$NewFeature,$BugFix,$Enhancement,$Refactor,$Revert,$Rework,$Cleanup,$Comment,$Formatting,$Whitespace,$Removal,sum
PR: New Feature,189,353,367,1779,19,18,51,101,63,14,2,2956
PR: Bug Fix,1,1,1,8,0,0,0,0,2,0,0,13
PR: Improvement,12,15,27,117,1,0,3,1,3,0,1,180
A-Prefix,14,27,31,193,2,0,6,24,13,3,0,313
C-Prefix,130,262,259,1432,14,7,42,85,61,11,3,2306
F-Prefix,42,92,94,367,6,5,14,19,8,1,0,648
K-Prefix,2,4,0,16,0,0,0,0,1,0,0,23
Needs-Prefix,7,9,7,32,0,1,2,0,0,0,1,59
S-Prefix,10,19,35,107,1,5,7,8,4,2,0,198
T-Prefix,7,22,9,60,3,1,2,7,7,3,0,121
Other,1,0,0,0,0,0,0,0,0,0,1,2
