,$NewFeature,$BugFix,$Enhancement,$Refactor,$Revert,$Rework,$Cleanup,$Comment,$Formatting,$Whitespace,$Removal,sum
PR: New Feature,189,353,367,1779,19,18,51,101,63,14,2,2956
C: LCD & Controllers,37,95,85,486,2,3,8,25,13,1,0,755
C: Motion,18,51,69,273,4,2,7,5,2,2,1,434
C: Peripherals,16,13,14,96,1,0,2,5,5,0,0,152
A: STM32,13,24,31,182,2,0,6,23,12,2,0,295
F: Calibration,12,39,49,147,4,1,6,6,0,0,0,264
PR: Improvement,12,15,27,117,1,0,3,1,3,0,1,180
C: Temperatures,11,18,9,73,2,0,2,6,3,0,0,124
C: Boards/Pins,9,13,19,125,1,0,5,17,11,2,1,203
C: Hosts & Protocols,9,12,12,53,0,1,2,0,1,0,0,90
C: Build / Toolchain,8,28,13,88,2,0,4,11,13,4,1,172
C: Safety,8,9,12,96,2,1,5,6,8,0,0,147
Needs: Testing,8,14,10,51,0,1,1,5,1,1,0,92
Needs: Work,7,9,7,32,0,1,2,0,0,0,1,59
F: Z-Probes,7,16,22,69,1,2,1,2,0,0,0,120
F: CNC / Laser,7,7,6,80,1,0,6,6,6,1,0,120
F: SD Card / Media,6,15,8,31,0,0,0,2,2,0,0,64
C: Serial Comms,6,7,5,29,0,0,2,6,2,1,0,58
