,$NewFeature,$BugFix,$Enhancement,$Refactor,$Revert,$Rework,$Cleanup,$Comment,$Formatting,$Whitespace,$Removal,sum
PR: New Feature,189,353,367,1779,19,18,51,101,63,14,2,2956
C: LCD & Controllers,37,95,85,486,2,3,8,25,13,1,0,755
C: Motion,18,51,69,273,4,2,7,5,2,2,1,434
C: Peripherals,16,13,14,96,1,0,2,5,5,0,0,152
A: STM32,13,24,31,182,2,0,6,23,12,2,0,295
F: Calibration,12,39,49,147,4,1,6,6,0,0,0,264
PR: Improvement,12,15,27,117,1,0,3,1,3,0,1,180
C: Temperatures,11,18,9,73,2,0,2,6,3,0,0,124
C: Boards/Pins,9,13,19,125,1,0,5,17,11,2,1,203
C: Hosts & Protocols,9,12,12,53,0,1,2,0,1,0,0,90
C: Build / Toolchain,8,28,13,88,2,0,4,11,13,4,1,172
C: Safety,8,9,12,96,2,1,5,6,8,0,0,147
Needs: Testing,8,14,10,51,0,1,1,5,1,1,0,92
Needs: Work,7,9,7,32,0,1,2,0,0,0,1,59
F: Z-Probes,7,16,22,69,1,2,1,2,0,0,0,120
F: CNC / Laser,7,7,6,80,1,0,6,6,6,1,0,120
F: SD Card / Media,6,15,8,31,0,0,0,2,2,0,0,64
C: Serial Comms,6,7,5,29,0,0,2,6,2,1,0,58
F: Trinamic,4,7,7,16,0,1,0,2,0,0,0,37
C: Configuration,4,3,1,14,0,0,0,2,0,0,0,24
T: HAL & APIs,4,2,2,12,0,1,0,2,3,0,0,26
S: Please Merge,3,7,8,60,1,0,3,8,4,2,0,96
Needs: Discussion,3,8,7,22,0,1,0,0,0,0,0,41
S: Don't Merge,3,2,7,11,0,3,1,0,0,0,0,27
S: Experimental,3,6,9,27,0,2,1,0,0,0,0,48
T: Development,2,18,6,46,3,0,2,5,4,3,0,89
F: Toolchange,2,1,1,6,0,1,1,0,0,0,0,12
C: User Interface,2,7,8,53,0,0,3,2,3,1,0,79
F: U.B.L.,2,2,0,4,0,0,0,1,0,0,0,9
PR: Bug Fix,1,1,1,8,0,0,0,0,2,0,0,13
F: BLTouch,1,4,1,12,0,0,0,0,0,0,0,18
K: Core / H-Bot,1,3,0,13,0,0,0,0,1,0,0,18
help wanted,1,0,0,0,0,0,0,0,0,0,1,2
A: SAMD51,1,3,0,11,0,0,0,1,1,1,0,18
Needs: Documentation,1,4,3,29,0,0,0,0,0,0,0,37
C: G-code Parser,1,3,6,23,0,0,1,0,0,0,0,34
C: Optimization,1,3,6,23,0,0,1,0,0,0,0,34
T: Suggestion,1,2,1,2,0,0,0,0,0,0,0,6
K: Deltabot,1,1,0,3,0,0,0,0,0,0,0,5
S: Hold for 2.1,1,4,11,9,0,0,2,0,0,0,0,27
Needs: More Data,1,1,2,2,0,1,0,0,0,0,0,7
F: Filament Sensor,1,1,0,2,0,0,0,0,0,0,0,4
