Title,$NewFeature,$BugFix,$Enhancement,$Refactor,$Revert,$Rework,$Cleanup,$Comment,$Formatting,$Whitespace,$Removal,TotalCount
"01-04-2022: Support for up to 9 axes (linear, rotary) (#23112)",1,0,5,3,0,0,0,1,0,0,0,10
"04-08-2022: Config INI, dump options (#24528)",1,0,0,3,0,1,0,3,0,0,0,8
"04-03-2023: Switching extruder/nozzle without servo (e.g., Dondolo) (#24553)",1,0,0,5,0,0,0,0,0,0,0,6
13-07-2021: MKS Robin Nano v3 + TFT_LVGL_UI + WiFi module (#22109),1,0,1,4,0,0,0,0,0,0,0,6
14-07-2021: MSC Support for STM32 + SDIO boards -> SKR 2 (#22354),1,0,0,3,0,1,0,1,0,0,0,6
11-01-2023: Polar Kinematics (#25214),1,0,0,5,0,0,0,0,0,0,0,6
24-07-2023: Compact RGB565 TFT boot images (#26011),1,0,0,4,0,0,0,0,0,0,0,5
11-06-2021: More flexible redundant temp sensor (#22085),1,0,2,2,0,0,0,0,0,0,0,5
11-07-2021: Add TEMP_SENSOR_BOARD (#22279),1,0,1,2,0,0,0,1,0,0,0,5
25-04-2023: TEMP_SENSOR_SOC (#25642),1,0,1,3,0,0,0,0,0,0,0,5
"22-04-2023: MarlinUI Endstop Test Screen, and more (#25667)",1,0,0,2,0,0,0,1,0,0,0,4
27-02-2023: LCD_BACKLIGHT_TIMEOUT for Neopixel LCD (#25438),1,0,1,1,0,0,0,0,1,0,0,4
26-11-2023: MAX Thermocouples for Heated Bed (#26441),1,0,1,1,0,0,0,1,0,0,0,4
18-11-2020: SMUFF (MMU2 clone) support (#19912),1,0,0,3,0,0,0,0,0,0,0,4
13-04-2021: Multi-Volume. Select Media for LVGL,1,0,2,1,0,0,0,0,0,0,0,4
