Pull,$NewFeature,$BugFix,$Enhancement,$Refactor,$Revert,$Rework,$Cleanup,$Comment,$Formatting,$Whitespace,$Removal,Sum
#18071,1,39,15,119,0,0,3,5,3,1,0,186
#23112,1,11,1,64,0,0,0,1,0,0,0,78
#16293,1,13,19,39,1,2,1,0,0,0,0,76
#16277,1,10,21,39,2,1,2,0,0,0,0,76
#21255,1,3,4,44,1,0,5,6,5,0,0,69
#21503,1,4,4,43,0,0,3,5,3,1,0,64
#22418,1,15,2,29,2,0,2,4,4,3,0,62
#21931,1,4,4,41,0,0,1,2,1,0,0,54
#20384,1,4,8,31,0,0,2,5,1,0,0,52
#15590,1,6,17,27,0,1,0,0,0,0,0,52
#16452,1,4,14,28,1,0,1,0,0,0,1,50
#21999,1,2,7,33,0,0,1,2,2,0,0,48
#16897,1,9,11,19,1,0,1,0,0,0,0,42
#23751,1,8,3,25,0,0,1,2,1,0,0,41
#15497,1,9,13,15,0,1,0,0,0,0,0,39
#14648,1,2,11,23,1,0,1,0,0,0,0,39
#19235,1,2,5,29,0,0,0,0,2,0,0,39
#17248,1,4,3,29,0,0,0,0,0,0,0,37
#19139,1,2,0,32,0,0,1,1,0,0,0,37
#24797,1,6,6,18,0,0,0,3,1,0,0,35
#18972,1,4,4,23,0,0,1,1,0,1,0,35
#18866,1,3,4,25,0,0,0,2,0,0,0,35
#17853,1,3,6,23,0,0,1,0,0,0,0,34
#17437,1,3,5,22,1,0,1,0,0,0,0,33
#20241,1,2,2,23,0,0,1,2,0,0,0,31
#22844,1,5,1,21,0,0,1,1,1,0,0,31
#24528,1,5,2,15,0,0,1,3,2,1,0,30
#20711,1,1,0,19,0,0,1,6,1,0,0,29
#14595,1,1,15,11,0,1,0,0,0,0,0,29
#18399,1,3,3,15,0,0,0,6,0,0,0,28
#16741,1,4,4,17,0,0,2,0,0,0,0,28
#16756,1,5,4,18,0,0,0,0,0,0,0,28
#15195,1,4,11,9,0,0,2,0,0,0,0,27
#19225,1,3,4,17,1,0,0,1,0,0,0,27
#25394,1,3,1,19,0,0,0,1,0,2,0,27
#20802,1,3,3,13,0,0,1,4,1,1,0,27
#25143,1,3,4,12,0,0,2,0,2,1,0,25
#23238,1,6,0,16,0,0,0,0,0,0,0,23
#22279,1,2,2,15,1,0,0,0,1,0,0,22
#15690,1,4,7,9,0,1,0,0,0,0,0,22
#20549,1,2,2,14,0,0,0,1,0,0,0,20
#14757,1,2,5,9,1,1,1,0,0,0,0,20
#16050,1,1,5,12,0,1,0,0,0,0,0,20
#24722,1,1,1,13,0,0,0,3,1,0,0,20
#15585,1,3,6,9,0,0,0,0,0,0,0,19
#21431,1,2,2,14,0,0,0,0,0,0,0,19
#17536,1,0,4,13,0,0,0,0,0,0,0,18
#23658,1,3,0,11,0,0,0,1,1,1,0,18
#14953,1,0,7,9,0,0,1,0,0,0,0,18
#22916,1,4,1,12,0,0,0,0,0,0,0,18
#23163,1,3,0,13,0,0,0,0,1,0,0,18
#14265,1,3,0,13,0,0,0,0,1,0,0,18
#24554,1,2,2,12,0,0,0,1,0,0,0,18
#20956,1,2,3,9,1,0,0,2,0,0,0,18
#16362,1,6,2,9,0,0,0,0,0,0,0,18
#23462,1,5,2,6,0,0,0,0,3,0,0,17
#19912,1,1,1,12,0,0,0,2,0,0,0,17
#14991,1,2,2,12,0,0,0,0,0,0,0,17
#22617,1,2,2,10,1,0,0,1,0,0,0,17
#15930,1,3,3,7,1,2,0,0,0,0,0,17
#22085,1,1,1,12,0,0,0,0,1,0,0,16
#20383,1,1,1,9,1,0,1,2,0,0,0,16
#15081,1,1,5,7,0,1,0,0,0,0,0,15
#25667,1,2,0,12,0,0,0,0,0,0,0,15
#22790,1,2,2,9,0,0,1,0,0,0,0,15
#21344,1,2,1,8,0,0,0,2,1,0,0,15
#17523,1,1,3,8,0,0,1,1,0,0,0,15
#22478,1,1,0,13,0,0,0,0,0,0,0,15
#23992,1,2,1,8,0,0,0,1,1,0,0,14
#20571,1,1,1,8,0,0,0,1,1,1,0,14
#20151,1,2,3,8,0,0,0,0,0,0,0,14
#23086,1,2,0,10,0,0,0,0,1,0,0,14
#20084,1,2,2,8,0,0,0,0,1,0,0,14
#19801,1,0,0,10,0,0,1,1,1,0,0,14
#17017,1,0,1,12,0,0,0,0,0,0,0,14
#21962,1,1,1,8,0,0,0,0,2,0,0,13
#25232,1,1,3,8,0,0,0,0,0,0,0,13
#21005,1,1,1,10,0,0,0,0,0,0,0,13
#15549,1,2,4,4,0,1,0,0,0,0,0,12
#17531,1,0,3,7,0,0,1,0,0,0,0,12
#19330,1,1,2,7,0,0,0,0,0,0,0,11
#23400,1,3,0,5,0,0,0,2,0,0,0,11
#20755,1,1,0,6,0,0,1,1,1,0,0,11
#22897,1,0,0,9,0,0,0,0,1,0,0,11
#16554,1,2,3,5,0,0,0,0,0,0,0,11
