Classified as Feature,Comment
14456,Added menu option to allow small movement on Z axis
14533,Added extra argument to command G34 for extra functionality
15376,Added M290 Added reporting
15640,Added ability to speed up homing after X and Y are homed
19682,Added ability to report z deviation for tramming
20733,Added 3 point bed leveling
21161,Added support of BLTOUHC_HS_MODE to LEVEL_CORNERS_USE_PROBE
21612,Added support for backlash compensation for COREXY kinematics
22707,Added aditional feature to G33 Command
23033,Added probe temperature compesation
23489,Added ability to change Z offset in LVGL UI
25371,Added support for dual endstops on X and Y
