Classified as Feature,Comment
14535,Added ability to turn led lights on after print is done
15394,Added support for the M997 Command on new control board
15650,Added support for redundant sensor when signlenozzle
16466,Added support to invert analog joystick values
16599,Added support for Serial 2 on new control board
17741,Added support to save more axis homing thresholds to EEPROM
17908,Added support for TMCStepper to specifc printer
18576,Added debugging for probe method
18952,Added Marlin Color UI to STM32F1
19349,Added new menus in Touch UI for BLTouch controls
20159,Added support for dummy thermistors without pin definition
22425,Added abilty to hide files on sdcard
23764,Added probe temperature compenstation to more commands
24401,Added ability to change bed dimensions at run time for polargraph
