Classified as Feature,Feature,Comment
14546,No, 
14883,No, 
15060,Yes,Added Back button for touchscreen 
15462,No, 
15498,Yes,Added support for screen and control board
15593,No, 
15714,No, 
16317,Yes,Added extra functionality to DGUS Screen
16792,Yes,Added extra controls to ExtUI
17281,No, 
17298,No, 
18326,Yes,Added support for M73 command to mks_ui
18655,Yes,Added support for specific board ui
18830,No, 
19384,Yes,Added ability to change Z offset while printing 
19465,Yes,Added extra controls Touch UI
19878,Yes,Added support for control board
20280,Yes,Added support for screen and control board
20427,No, 
21148,No, 
22288,No, 
23124,No, 
23502,No, 
24278,No, 
24610,Yes,Added information to MKS UI
25073,Yes,Added support for aditional fonts
26539,No, 
26596,Yes,Added support for screen
27154,No, 
27275,No, 
