Classified as Feature,Comment
15060,Added Back button for touchscreen 
15498,Added support for screen and control board
16317,Added extra functionality to DGUS Screen
16792,Added extra controls to ExtUI
18326,Added support for M73 command to mks_ui
18655,Added support for specific board ui
19384,Added ability to change Z offset while printing 
19465,Added extra controls Touch UI
19878,Added support for control board
20280,Added support for screen and control board
24610,Added information to MKS UI
25073,Added support for aditional fonts
26596,Added support for screen
