Classified as Feature,Comment
15374,Added support for more mixing steppers
16551,Added ability for arc segment radius to be scaled
17697,Added ability to park nozzle with only one axis
18736,Added ability to define nozzle wipe sequence
18870,Added configurable setting for x axis for feature
20113,Added configurable Home_Z_First setting
20218,Added configurable software stepper enable setting
20678,Added ability for each Z axis stepper to move to a different direction
23158,Added ability to configure park move options
24684,Added linear advance to ESP32 boards
