Classified as Feature,Comment
14667,Added support for second neopixel light strip
16539,Added support to send pulses for photos
16731,Added support for thermistor
16960,Expands the capabilities of servos
17806,Added support for thermistor
20123,Added support for expansion unit
20262,Added support for cold extrusion
20410,Added support for percentage viewing of statistics
21680,Added support for digipot stepper controller for board
23066,Added ability for M150 command to control individual led strip
23322,Added ability to drive more than 128 leds on a neopixel
23986,Added support for more than 3 axes to command M350 and M114
24130,Added address flag to M3426 command
25163,Added support for PCA9632 for the RGB_STARTUP_TEST
25303,Added menu item to control pen for polargraph kinematics
26163,Added ability to re-intialize AMX7219 on power supply on
