Classified as Feature,Feature,Comment
14388,No,
14407,Yes,Added support for control board
14539,Yes,Made TMC_SW_* pins configurable
14639,Yes,Added support for screen
14807,No,
14810,No,
15631,Yes,Added support for control board
15645,No,
15931,Yes,Added support for screen
16207,Yes,Added support for printer
16217,No,
16404,No,
16538,No,
16562,No,
17056,No,
17865,No,
17937,No,
18145,Yes,Added sanity checks for serial_stats
18347,Yes,Made Robin Nano pins configurable
19905,No,
19963,No,
19978,Yes,Added ability to get clock rates from framework
20544,No,
21590,No,
22537,No,
23464,Yes,Added DMA interrupt method
24760,Yes,Added support for control board
25387,Yes,Added support for control board
25636,Yes,Added support for control board
25796,Yes,Added support for control board
