Pull,Comment
14251,Added configurable setting to leave heaters on
14265,Added ability to turn of backlights after timeout
14309,Added ability for pin debugging on STM32
14595,Added SPI touchscreen driver for printers
14619,Added ability to clean nozzle with limited axis
14648,Added support for analog joystick
14757,Added M575 command to change baud rate
14924,Added M16 command to check for expected printer
14953,Added ability to run scrip at startup
14956,Added configurable setting to control specific fans
14961,Added Animated Marlin boot screen
14991,Added configurable setting for turbo back button
15081,Added support for SPI daisy chain support
15195,Added ability to calculate bed alignemt for triple-Z printers
15209,Added M997 command support to STM32F1
15245,Added configurable settings for touch buttons
15497,Added ability to show estimated remaining time
15549,Added M73 command to support remaining time output of slicer
15585,Added feedforward to fan scaling options for better control
15590,Added M486 command to cancel indivial objects
15690,Added stepper current to sensorless homing for better support
15739,Added input variables to M220 command
15930,Added support for temperature sensor
16026,Added E input variable to M114 command to get stepper position 
16050,Added configurable setting for PSU power-on delay
16068,Added ability to show power percentage of Laser and Spindle
16277,Added support for quad Z stepper
16293,Added support for z-probe with thermistor
16362,Added hotend protection after timeout
16452,Added support for L64XX stepper driver
16554,Added configurable G12 defaults per tool
16641,Added M672 command to reset sensitivity of smart effector
16741,Added M360 command to report capabilities of printer
16756,Added ability to use onboard SD card for STM32duino
16897,Added bed tramming assistant
17017,Added ability to limit feedrate based on volumetric extrusion
17222,Added support for SD cards on STM32
17239,Added support for tool sensor to check if tool is still present
17248,Added ability to change tool automatically during print
17437,Added ability to monitor power and display current readins
17462,Added ability to instantly stop movement
17523,Added support for MMU2S features
17531,Added support for WIFI on SKR PRo 1.1
17536,Added support to use raw values of digipot
17560,Added configurable setting to control AUTOTEMP
17788,Added ability for G12 command to check endstop parameters
17853,Added ability for direct stepping throught the G6 command 
17884,Added configurable setting for SD card read only mode
18039,Added configurable setting for thermocouple sensor errors
18071,Added UI library for MKS Robin Nano
18177,Added ability to add custom user menu items
18316,Added configurable setting handling small segments
18389,Added configurable pin macro for commands
18399,Added ability to password protect printer
18735,Added ability to ignore controller fan for z axis
18737,Added support for pre and post scrip to commadn G425
18866,Added z probe offset calibration menu
18906,Added configurable Z stepper position after deactivate
18972,Added G34 command to algin Z steppers automatically
19139,Added support for TFT controller to LPC1768
19225,Added support for debug codes
19235,Added support for MARKFORGED kinematics
19330,Added support of realtime reporting to commands
19674,Added D576 command to report buffer status
19801,Added ethernet support to Teensy 4.1
19828,Added configurable TMC interpolation per driver
19837,Added support to run commands during PSU POWER action
19901,Added configurable setting for sound on menu items
19912,Added support for SMUFF feeder
19971,Added support for hobby servos
20084,Added M808 command to repeat last command
20087,Added support for UTF in long filenames
20099,Added configurable setting to mount SD on boot
20151,Added ability to go to file browser on media insert
20241,Added ability to use probe to level corners
20383,Added configurable minimum temperaturs for nozzle and bed
20384,Added support for TFT controller to STM32
20455,Added support for white LED channel on PCA9632
20549,Added support for progress estimation to FTDI EVE UI
