Label,Merged New Features,Tagged,Percent,Total Commits,Average Commits,Average Time between Commits
PR: New Feature,472,189,40.0,2956,15.6,167.6
C: LCD & Controllers,69,37,53.6,755,20.4,110.5
PR: Improvement,60,12,20.0,180,15.0,141.4
F: Calibration,52,12,23.1,264,22.0,132.4
C: Boards/Pins,41,9,22.0,203,22.6,89.9
PR: Configurations,33,0,0.0,0,0.0,0.0
C: Motion,23,18,78.3,434,24.1,138.5
F: Z-Probes,22,7,31.8,120,17.1,155.3
C: Hosts & Protocols,19,9,47.4,90,10.0,247.6
C: Peripherals,16,16,100.0,152,9.5,195.9
Needs: Testing,16,8,50.0,92,11.5,188.0
A: STM32,15,13,86.7,295,22.7,94.3
F: SD Card / Media,14,6,42.9,64,10.7,122.2
T: HAL & APIs,13,4,30.8,26,6.5,203.8
S: Experimental,13,3,23.1,48,16.0,162.7
Needs: Work,13,7,53.8,59,8.4,205.1
C: Temperatures,11,11,100.0,124,11.3,181.3
C: Build / Toolchain,8,8,100.0,172,21.5,127.8
C: Safety,8,8,100.0,147,18.4,200.2
PR: Bug Fix,8,1,12.5,13,13.0,89.0
F: CNC / Laser,7,7,100.0,120,17.1,107.7
C: Serial Comms,7,6,85.7,58,9.7,194.2
S: Don't Merge,6,3,50.0,27,9.0,231.3
Needs: More Data,6,1,16.7,7,7.0,264.0
T: Development,6,2,33.3,89,44.5,34.0
Needs: Discussion,6,3,50.0,41,13.7,172.3
S: Please Merge,5,3,60.0,96,32.0,60.3
C: Configuration,5,4,80.0,24,6.0,215.8
F: Trinamic,5,4,80.0,37,9.2,391.8
F: U.B.L.,5,2,40.0,9,4.5,189.5
T: Feature Request,3,0,0.0,0,0.0,0.0
T: Design Concept,3,0,0.0,0,0.0,0.0
F: BLTouch,2,1,50.0,18,18.0,52.0
PR: General Cleanup,2,0,0.0,0,0.0,0.0
Bug: Confirmed !,2,0,0.0,0,0.0,0.0
C: Optimization,2,1,50.0,34,34.0,45.0
C: User Interface,2,2,100.0,79,39.5,20.5
F: Toolchange,2,2,100.0,12,6.0,151.5
help wanted,2,1,50.0,2,2.0,398.0
T: Suggestion,1,1,100.0,6,6.0,195.0
F: EEPROM,1,0,0.0,0,0.0,0.0
S: Hold for 2.1,1,1,100.0,27,27.0,64.0
F: IDEX,1,0,0.0,0,0.0,0.0
K: Deltabot,1,1,100.0,5,5.0,329.0
C: Language,1,0,0.0,0,0.0,0.0
Needs: Documentation,1,1,100.0,37,37.0,42.0
PR: Coding Standards,1,0,0.0,0,0.0,0.0
C: G-code Parser,1,1,100.0,34,34.0,45.0
F: Filament Sensor,1,1,100.0,4,4.0,123.0
A: SAMD51,1,1,100.0,18,18.0,50.0
C: Documentation,1,0,0.0,0,0.0,0.0
Needs: Patch,1,0,0.0,0,0.0,0.0
K: Core / H-Bot,1,1,100.0,18,18.0,54.0
