Label,Pull Request Count,Average Time Between Creation and Merge,Max Time Between Creation and Merge,Average Comment Count
All Merged,9114,5.85,900,4.09
PR: New Feature,472,23.82,715,11.4
PR: Bug Fix,2852,3.27,422,3.13
PR: Coding Standards,243,4.63,369,1.9
PR: Configurations,420,3.03,267,1.77
PR: General Cleanup,784,1.45,123,1.92
PR: Improvement,2067,6.58,900,5.7
PR: Workaround,3,0.33,1,9.0
The Rest,8642,4.87,900,3.69
A-Prefix,492,6.32,253,7.97
Bug-Prefix,348,1.36,60,2.29
C-Prefix,4591,7.11,595,4.32
F-Prefix,1175,10.48,900,5.42
K-Prefix,69,5.22,60,4.45
Needs-Prefix,239,33.16,900,19.83
S-Prefix,160,15.67,337,15.98
T-Prefix,627,10.15,595,7.58
Other,5,26.4,75,8.8
No Label,1019,3.86,288,2.59
